,순위,제목,아티스트,앨범
0,1,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
1,2,LOVE DIVE,IVE (아이브),LOVE DIVE
2,3,TOMBOY,(여자)아이들,I NEVER DIE
3,4,Feel My Rhythm,Red Velvet (레드벨벳),'The ReVe Festival 2022 - Feel My Rhythm'
4,5,사랑인가 봐,멜로망스 (MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
5,6,GANADARA (Feat. 아이유),박재범,GANADARA
6,7,취중고백,김민석 (멜로망스),취중고백
7,8,듣고 싶을까,MSG워너비 (M.O.M),듣고 싶을까
8,9,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
9,10,INVU,태연 (TAEYEON),INVU - The 3rd Album
10,11,LOVE me,BE'O (비오),LOVE me
11,12,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면 (경서예지 x 전건호)
12,13,abcdefu,GAYLE,abcdefu
13,14,신호등,이무진,신호등
14,15,ELEVEN,IVE (아이브),ELEVEN
15,16,"스물다섯, 스물하나",자우림,"Goodbye, grief."
16,17,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2
17,18,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
18,19,Stay,The Kid LAROI & Justin Bieber,Stay
19,20,회전목마 (Feat. Zion.T & 원슈타인) (Prod. by Slom),sokodomo,쇼미더머니 10 Episode 2
20,21,어제처럼,폴킴,어제처럼
21,22,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56
22,23,너의 번호를 누르고,김나영,너의 번호를 누르고
23,24,RUN2U,STAYC (스테이씨),YOUNG-LUV.COM
24,25,strawberry moon,아이유 (IU),strawberry moon
25,26,Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (What Doesn't Kill You) (Digital Audio Bundle)
26,27,MY BAG,(여자)아이들,I NEVER DIE
27,28,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3 (JTBC 금토 드라마)
28,29,벚꽃 엔딩,버스커 버스커 (Busker Busker),버스커 버스커 1집
29,30,SMILEY (Feat. BIBI),YENA (최예나),SMiLEY
30,31,리무진 (Feat. MINO) (Prod. by GRAY),BE'O (비오),쇼미더머니 10 Episode 3
31,32,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아
32,33,Next Level,aespa,Next Level
33,34,호랑수월가,탑현,호랑수월가
34,35,그대라는 사치,임영웅,사랑의 콜센타 PART62
35,36,바라만 본다,MSG워너비 (M.O.M),MSG워너비 1집
36,37,너를 생각해,주시크 (Joosiq),너를 생각해
37,38,잊었니,임영웅,사랑의 콜센타 PART60
38,39,존재만으로,원슈타인,스물다섯 스물하나 OST Part 4
39,40,Real Love,오마이걸 (OH MY GIRL),Real Love
40,41,내가 아니라도,주호,내가 아니라도
41,42,끝사랑,임영웅,사랑의 콜센타 PART61
42,43,HERO,임영웅,HERO
43,44,라일락,아이유 (IU),IU 5th Album 'LILAC'
44,45,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO,OHAYO MY NIGHT
45,46,Weekend,태연 (TAEYEON),Weekend
46,47,우연히 봄,로꼬 & 유주 (YUJU),냄새를 보는 소녀 OST Part.2 (SBS 수목드라마)
47,48,Blueming,아이유 (IU),Love poem
48,49,Starlight,태일 (TAEIL),스물다섯 스물하나 OST Part 1
49,50,Bk Love,임영웅,뽕숭아학당 PART23
